Compound Name,mz_x,rt_x,/home/zzy/data/raw-mzml/good-mzml/TOF_test/SampleA_3-20170326-960MIX_SampleA_4.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/SampleA_4-20170326-960MIX_SampleA_5.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleA_1.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleA_2.mzML,rt_x,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_2.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_3.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_1.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_4.mzML,Compound formula,mz_y,rt_y,Fold change,p-value,Compound concentration ratio,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
704,466.2338,7.53,5418738.840233451,6345045.409326578,457168.6239697036,1247438.3723916884,7.53,6786399.757361619,8901304.14441789,3521980.296060188,8305915.576750549,C26H31N3O5,466.2338,7.53,1.31,0.004,1/1,3367097.811480355,87.49592804690232,6878899.943647562,35.014215115447236,2.0429759777674033,1.5595236471506895
705,506.1092,16.66,944362.0253965078,449152.0842815952,199443.33175095305,432778.1595918944,16.66,397682.7049831705,26967.62663228491,2291697.939144501,3687.651243549966,C25H17F2N5O3S,506.1092,16.66,1.18,0.074,1/1,506433.90025523765,61.89124756232318,680008.9805008766,160.22054699059683,1.342739852443051,1.1379151291890264
706,291.1602,0.84,20168.356351673625,20190.969242755506,13554.463159925825,17098.476077847296,0.84,21897.50742255988,19642.56102227058,19927.61122162066,22942.895762705357,C18H18N4,291.1602,0.84,1.8,0.026,2/1,17753.066208050564,17.76314857245981,21102.64385728912,7.508018439370242,1.188676007287102,0.6603755596039456
707,280.0848,6.91,3081217.063778344,2651665.696508536,3110425.693438117,3327217.18315837,6.91,5459419.871153972,5235207.76124648,5318952.8578058025,4533740.101042111,C13H14ClN3O2,280.0848,6.91,1.41,0.003,1/1,3042631.4092208417,9.294598800252958,5136830.147812092,8.031501081208479,1.6882853875249824,1.1973655230673634
708,312.0916,6.0,1353131.9769333962,3159949.58965886,135301.51891251685,276579.69754402566,6.0,3934196.9846585942,2601499.7516687475,4073521.3224501247,71852.59717153703,C15H13N5OS,312.0916,6.0,1.2,0.05,1/1,1231240.6957621996,113.38920602708458,2670267.663987251,69.46886976041007,2.168761699623827,1.807301416353189
709,310.108,30.71,1926163.154972178,1997215.3337407408,1935746.101325316,1366258.2549379892,30.71,2703408.913793982,2607815.691014336,2579227.6604006044,2642803.89434628,C18H15NO4,310.108,30.71,1.07,0.396,1/1,1806345.711244056,16.335500848587742,2633314.0398888006,2.030725763189359,1.457812877954132,1.3624419420132075
710,581.1556,7.0,5002524.463479186,5463925.885828039,2841804.4869249724,4161648.0403468176,7.0,6176805.790590269,3830543.864103864,6397520.931211013,209114.0806582597,C23H26FN6O9P,581.1556,7.0,1.25,0.02,1/1,4367475.719144753,26.35762415183856,4153496.166640851,69.21181922433544,0.9510061265902575,0.760804901272206
711,499.2268,4.16,7484.187383177061,9094.124819375009,8011.162552333722,7233.773232025565,4.16,1959066.153522309,2270555.777210425,1141132.6143968422,1758159.05920118,C28H30N6OS,499.2268,4.16,1.19,0.427,1/1,7955.81199672784,10.371591676602495,1782228.4010826892,26.739363056791,224.0159020620026,188.24865719496017
712,551.1871,3.74,175890.1718385691,154711.62930369977,138619.0643549129,164720.2257825768,3.74,201503.4331416859,224319.44065979944,135030.73731470038,231616.5668519797,C26H31BrN8O,551.1871,3.74,1.43,0.005,1/1,158485.27281993965,9.981299196209669,198117.54449204137,22.193991993569853,1.2500691134698,0.8741742052236364
713,513.2363,21.83,24252830.96208311,22818419.370514628,29555330.402679745,27611613.58741834,21.83,37130832.534494415,43074249.8937449,38643368.65663709,39116686.394610256,C29H31F3N2O3,513.2363,21.83,1.08,0.387,1/1,26059548.580673955,11.806482212979633,39491284.36987166,6.417470270808304,1.5154247299263974,1.4031710462281457
714,452.1692,17.27,14021251.68629672,16672490.998675965,6671021.951232486,10469570.626714155,17.27,14432870.222097302,15042943.635992045,10135636.514873326,12058451.196711602,C24H20F3N5O,452.1692,17.27,0.93,0.214,1/1,11958583.815729832,36.33819694393833,12917475.392418567,17.4772784989639,1.0801843756304528,1.1614885759467233
715,431.0505,10.57,1946446.388983013,2644070.9267583843,1823553.980783896,1827981.949144292,10.57,2471130.035083007,2880517.781136722,2636191.259923185,2801192.621434777,C18H15ClN6OS2,431.0505,10.57,1.33,0.004,1/1,2060513.3114173964,19.081648362742836,2697257.9243944227,6.743435091968383,1.3090223244124635,0.9842273115883183
716,378.1342,5.81,656.1613023759569,1503.14163075668,713.8245513206125,604.2691506886066,5.81,2829291.0468444647,2826323.780937356,3101023.36351178,1908329.076515847,C15H19N7O3S,378.1342,5.81,1.88,0.013,2/1,869.349158785464,48.87461723964792,2666241.8169523617,19.556863838109734,3066.940124123742,1631.3511298530543
717,528.2489,7.97,1238700.5626633095,1213600.8453218315,789671.8920444323,1036325.837373209,7.97,1850663.6573718088,1978929.4308210025,1817348.592646761,1963726.927767463,C31H33N3O5,528.2489,7.97,1.46,0.0,1/1,1069574.7843506956,19.372382739268705,1902667.1521517588,4.240370290458246,1.7789005313048838,1.2184250214417012
718,406.1847,4.57,3594265.9126859275,3463157.7070289245,2861390.407025697,2688176.00676914,4.57,4736.022331767568,5900.776154557386,4330.985938077923,5431.196812415313,C20H22F3N5O,406.1847,4.57,0.63,0.011,1/2,3151747.508377422,14.094527047086311,5099.745309204548,13.748548330126276,0.001618069117417972,0.0025683636784412252
720,470.1864,11.6,4111061.236434694,4130620.865939605,3965170.669306873,3766814.246501861,11.6,4154540.993384755,4371745.384828901,4297001.978052702,4961796.945732823,C23H25ClFN7O,470.1864,11.6,1.1,0.077,1/1,3993416.754545758,4.210393617959835,4446271.325499795,7.99090662364822,1.11340027820501,1.0121820710954637
721,321.098,3.95,3147910.3629709776,2997422.8706953507,3138763.2559642484,3247752.1540430216,3.95,3179474.621344746,2966665.5702567645,3258460.516152608,3073031.4220048385,C15H14F2N4S,321.098,3.95,1.31,0.001,1/1,3132962.1609183997,3.2864737623804388,3119408.0324397394,4.072868405834354,0.9956737018251485,0.7600562609352278
722,285.0803,3.06,677519.3806000535,710729.234583537,646859.634329756,528534.3873705385,3.06,953461.7485543676,939248.4104799712,755882.4599463647,1119169.37613042,C14H12N4OS,285.0803,3.06,1.91,0.002,2/1,640910.6592209713,12.377340283118343,941940.4987777809,15.766626352906341,1.4696907989059071,0.7694716224638257
724,464.2762,3.66,1201783.0335688044,977345.1500679224,819780.1178581696,772224.623637322,3.66,856796.6970550987,1019979.8519508172,473237.0803097148,1282454.2886084584,C25H33N7O2,464.2762,3.66,1.12,0.069,1/1,942783.2312830546,20.539740866292565,908116.9794810222,37.31011945172958,0.9632298807915216,0.8600266792781442
725,521.1292,11.53,3356946.563023644,2870705.0550897904,4479772.548390908,4433087.598830828,11.53,4547557.982949935,4085396.811733703,4202110.287644886,3792969.127744803,C25H25BrN6O2,521.1292,11.53,1.08,0.112,1/1,3785127.9413337926,21.145756439557033,4157008.552518332,7.5077607915671365,1.0982478312353947,1.0168961400327727
726,338.1776,6.07,7797.955888155099,11085.26709526594,2905.8734173998164,3855.176862375884,6.07,17006641.975474734,16046231.937872777,16022096.59574288,15392108.322504388,C19H20FN5,338.1776,6.07,1.03,0.35,1/1,6411.068315799184,58.771349404023695,16116769.707898695,4.132772358697453,2513.8976710295165,2440.6773505140936
727,272.0344,15.34,342280.7484461827,342463.2945631167,365183.3596588584,296820.86999985494,15.34,386972.3375710043,420392.087130012,384753.0372116024,402100.17631767713,C9H7ClFN5O2,272.0344,15.34,1.21,0.063,1/1,336687.0681670031,8.515497770845819,398554.40955757396,4.133186495642381,1.1837532451940906,0.9783084671025543
728,554.2312,24.37,1053119.3901602405,4642527.874006766,48253.00683763312,105246.11127707358,24.37,202008.26670598463,1241.8524825064778,2685207.976743875,3.31864406701032,C30H28FN7O3,554.2312,24.37,1.31,0.022,1/1,1462286.5955704283,148.37514709393884,722115.3536441083,181.71157993618777,0.49382614586740153,0.37696652356290195
729,491.105,13.04,5877061.2153144665,6414284.59585032,5673298.8962793,6106474.526154375,13.04,6894845.246282735,7373087.607880841,7140982.614746782,5315807.918464112,C23H21Cl2FN4O3,491.105,13.04,1.18,0.045,1/1,6017779.808399616,5.285905051645672,6681180.846843618,13.9340336978872,1.1102401649056728,0.9408814956827736
730,439.223,30.44,8575361.263763282,8925726.001366682,9701893.27421802,9045216.010655852,30.44,11137111.45206693,9433528.91223638,9668758.891204732,9195899.3311421,C25H30N2O5,439.223,30.44,1.05,0.261,1/1,9062049.137500959,5.195976685684185,9858824.646662535,8.862949939289019,1.087924430454071,1.0361185051943533
731,376.1626,9.38,15198075.343940934,13830873.80746009,13966009.446246704,15450436.206805646,9.38,13590173.733023372,14976617.209581297,12711875.308834769,15124158.231360542,C18H25N5S2,376.1626,9.38,1.34,0.061,1/1,14611348.701113343,5.690429500596665,14100706.120699994,8.193221576509496,0.9650516464387412,0.7201877958498069
732,383.1756,28.26,12233875.942869794,11362232.628094258,11010785.979106396,11277293.92789282,28.26,10411770.811067952,11674383.720128777,9578025.296848048,11003506.500290874,C25H22N2O2,383.1756,28.26,1.27,0.004,1/1,11471047.119490817,4.621503952451557,10666921.582083913,8.34840582076181,0.9298995524095974,0.7322043719760609
733,524.3346,13.48,12792821.710445032,12982670.073857274,14669470.812933268,13464312.758458354,13.48,17246961.78986558,15861216.8555913,16165537.09512369,16887504.165939093,C28H41N7O3,524.3346,13.48,1.09,0.251,1/1,13477318.838923482,6.258857431246516,16540304.976629917,3.857861597688709,1.2272696946858828,1.125935499711819
734,376.1569,22.77,1062481.415129851,1350353.2490626485,106258.50499871456,244899.54237314317,22.77,7034194.264058939,4387813.300590441,7746490.223960973,1492358.1943080828,C21H18FN5O,376.1569,22.77,1.21,0.0,1/1,690998.1778910893,88.17417208180083,5165213.995729609,55.04394771011637,7.475003785818545,6.17768907918888
735,504.994,31.55,1841089.7839797365,1404698.5106217372,1730053.5552197462,1246197.195501612,31.55,1646637.497518589,1310756.4988371737,1875959.0739973115,1544222.560540408,C22H20Br2N2O2,504.994,31.55,0.99,0.925,1/1,1555509.761330708,17.81744224612583,1594393.9077233705,14.708002976660998,1.0249976871629516,1.0353511991544966
736,486.2611,4.18,9613730.21858827,8596243.570916222,8684317.492873633,8212197.561298322,4.18,7519805.373150793,8863260.588921871,7300880.95064961,7463590.436269574,C27H31N7O2,486.2611,4.18,0.67,0.009,1/1,8776622.210919112,6.773966787353178,7786884.337247962,9.292088089659138,0.8872302065776736,1.3242241889219009
737,392.2333,9.21,2430184.443463404,945887.5352263764,307749.3555204327,548426.4580086789,9.21,6590559.311248926,430972.97521353886,7475039.100671245,9159.973120603358,C24H29N3O2,392.2333,9.21,0.9,0.11,1/1,1058061.948054723,89.96074593190852,3626432.8400635784,109.02241355585996,3.4274296006305476,3.8082551118117194
738,275.1078,3.63,10778.023675252824,11770.11096182749,8044.471156832293,5707.241453138073,3.63,13066.914417237414,7799.318527284602,13721.637600720836,11839.1669290853,C13H20Cl2N2,275.1078,3.63,0.93,0.222,1/1,9074.96181176267,30.223044945302348,11606.75936858204,22.879094128636204,1.2789871306717495,1.3752549792169348
739,239.1163,27.71,1612268.5928840355,1704578.7822011416,1687548.897891787,1484308.814386662,27.71,1996219.7555751863,1894975.1688010048,2015498.607788092,1570795.5707380828,C15H14N2O,239.1163,27.71,1.01,0.793,1/1,1622176.2718409065,6.181933348208565,1869372.2757255915,11.017090475698845,1.152385414689957,1.1409756581088684
740,296.1393,3.31,1317452.1667586002,1293811.9064531953,1087044.1613316834,1130785.3246254274,3.31,1553171.2404388587,1428717.5505900402,1053808.8523897664,1792978.2621072773,C17H17N3O2,296.1393,3.31,1.34,0.001,1/1,1207273.3897922267,9.556610735770246,1457168.9763814858,21.170315414656276,1.206991712649499,0.9007400840667902
741,283.1806,10.22,1372.9760219210302,3257.403766175477,3214.1857453166235,2144.440531507028,10.22,9498584.021906622,7509173.20838466,9705829.157939129,1899054.4091297048,C18H22N2O,283.1806,10.22,0.99,0.863,1/1,2497.2515162300397,36.410692655234456,7153160.199340029,50.887050786186094,2864.413197008987,2893.3466636454414
742,353.1133,25.88,2578632.6584776924,2604030.8596480014,2336734.719679147,2231685.432918422,25.88,3275947.9166425643,3212287.0320021906,3023492.233817071,3276431.108936381,C19H16N2O5,353.1133,25.88,1.26,0.005,1/1,2437770.917680816,7.495527084232216,3197039.5728495517,3.7395756852201814,1.3114602154213364,1.0408414408105844
743,353.1127,27.6,3129110.386106464,3246295.8685043687,3402777.816701162,2963710.6612497494,27.6,4086168.0208318834,4091273.077949053,3631319.8210018855,3894041.684032589,C19H16N2O5,353.1127,27.6,1.28,0.009,1/1,3185473.683140436,5.824588277443548,3925700.6509538526,5.5190481491632895,1.2323757913088942,0.9627935869600736
744,486.0951,7.88,2969305.6133284224,2775454.1954638483,2660985.0990768517,3199433.413889174,7.88,3379825.247993358,3145551.527309781,3552366.255295293,2777790.197908935,C20H17Cl2N9O2,486.0951,7.88,1.09,0.316,1/1,2901294.580439574,8.134511931864582,3213883.3071268415,10.427843158861394,1.1077411197038487,1.0162762566090355
745,408.1378,28.35,5873934.9471204085,5535870.330537799,5492409.053113446,5320944.7182538,28.35,7855639.209228444,7003033.523789855,6965281.901401617,6379031.009121969,C22H21N3O3S,408.1378,28.35,1.18,0.0,1/1,5555789.762256363,4.166898218741734,7050746.410885471,8.621811259987457,1.2690808530562472,1.0754922483527518
746,408.1333,32.08,2483.5561057999776,2998.1480882922647,1696.4974798645137,1972.1587579159195,32.08,3108.506163330412,3646.176835128951,2836.140724562366,5696.95359855181,C22H21N3O3S,408.1333,32.08,1.11,0.052,1/1,2287.590107968169,25.13952098304262,3821.944330393385,33.87075421647755,1.6707295232134156,1.5051617326246987
747,397.177,3.81,1956684.326661233,1770478.8917142483,1682243.0052394627,1816371.5769633015,3.81,2762129.1517799227,3242623.000386578,1967389.0004452288,2761624.148622528,C23H20N6O,397.177,3.81,1.53,0.015,1/1,1806444.4501445615,6.343197601311459,2683441.3253085646,19.692305148794865,1.4854823380225288,0.9709034889036136
748,397.1769,4.87,1992387.353655746,1895542.5861527997,573963.6150782406,1571456.1537104703,4.87,1008.8453582407652,914.4777907736948,1157.8343837428706,970.4704572423102,C23H20N6O,397.1769,4.87,0.85,0.081,1/1,1508337.4271493142,42.987777723176585,1012.9069974999102,10.277221109481385,0.000671538728183823,0.0007900455625692035
749,448.1437,6.16,644168.1529038666,1411891.5909455037,118655.38947534905,219887.1676267579,6.16,342552.76053527487,1624698.8305180925,101669.27607167006,40735.52191105411,C23H21N5O3S,448.1437,6.16,1.3,0.043,1/1,598650.5752378693,98.22364410101751,527414.0972590229,140.88347283362634,0.8810049118376924,0.6776960860289941
750,448.2461,11.17,96193.25602462016,123130.53688606118,21665.603335775668,29307.1481177166,11.17,185940.32026491367,164700.72471791058,182186.6760082683,49472.8486495331,C24H29N7O2,448.2461,11.17,1.33,0.033,1/1,67574.1360910434,73.88185009151955,145575.1424101564,44.46725868999218,2.1543026789720456,1.6197764503549215
751,466.2449,9.17,1486734.8469792395,3922664.602951992,28922.370284397588,110794.8094552848,9.17,14490028.778752944,13480450.322314408,14134770.938625816,13959629.343115645,C25H31N5O4,466.2449,9.17,1.31,0.142,1/1,1387279.1574177283,131.0296731869199,14016219.845702201,2.99539773045976,10.10338818309063,7.7125100634279615
752,466.245,8.87,18695752.915755663,13798386.60837316,14564402.752759274,18249636.805271327,8.87,19832444.595781684,17235450.750089724,14803333.272367343,11137191.090125244,C25H31N5O4,466.245,8.87,1.08,0.09,1/1,16327044.770539857,15.3357462597425,15752104.927090999,23.482370271423346,0.9647860435535605,0.8933204106977412
753,533.2272,18.35,41455575.025270544,44623718.43653988,26609796.868071456,35840628.52223508,18.35,45128139.96047709,32564942.705474067,47275468.51576857,13904198.878112337,C29H27F3N6O,533.2272,18.35,1.27,0.002,1/1,37132429.713029236,21.273700393622992,34718187.51495802,44.12057917556817,0.934982918792839,0.7362070226715268
754,609.2954,3.81,2167533.1575529063,1077927.6746647558,1900225.693684958,2042198.7363702096,3.81,1401377.9192717052,2401305.6687349603,643250.725289798,1606507.8644791988,C37H40N2O6,609.2954,3.81,0.78,0.113,1/1,1796971.3155682073,27.359521495595107,1513110.5444439156,47.76052699974085,0.8420337772422738,1.0795304836439408
755,548.2211,8.01,1342573.061621022,1545998.7131151413,1065352.5725380776,1125530.2756120411,8.01,1973894.5326645707,1469101.5962815662,2032961.9723268088,718310.4654421746,C25H31N7O6,548.2211,8.01,1.6,0.011,2/1,1269863.6557215706,17.264582387624248,1548567.1416787799,39.30086064708866,1.2194751260904797,0.7621719538065498
756,357.0843,15.16,73082.59274328515,75427.66550181233,91997.45000956477,90920.95345026164,15.16,110444.54067171416,106924.56020230056,101257.40995043484,111050.34512358213,C19H14N2O4,357.0843,15.16,1.73,0.011,2/1,82857.16542623096,12.055059222153163,107419.21398700793,4.182301016679965,1.29643843636728,0.7493863794030521
757,309.1057,30.86,9943072.825946588,10044499.963269724,9607026.879474554,7468535.566733414,30.86,9735406.288602171,10207946.554730045,10140814.377031676,10611354.4262302,C16H18N2OS,309.1057,30.86,1.08,0.256,1/1,9265783.80885607,13.08755706272257,10173880.411648523,3.5252377220062607,1.0980053734822208,1.0166716421131674
758,299.0795,14.2,210613.72263576864,202980.98153098812,251972.0641105453,222270.4875670609,14.2,266144.34905069903,319210.8701456571,238862.0059581511,292417.2769489636,C14H16N2O2S,299.0795,14.2,1.27,0.127,1/1,221959.31396109072,9.696972055105455,279158.6255258677,12.362740124870724,1.257701785719179,0.9903163667080149
759,299.0814,13.5,311478.0442630064,341556.05953035894,222177.61557313392,201709.2433705504,13.5,299070.9439262965,323910.82598402374,314345.12628214067,363655.0898280019,C17H12N2O2,299.0814,13.5,0.97,0.107,1/1,269230.2406842624,25.181459889292242,325245.49650511565,8.477953975451888,1.2080570729294287,1.245419662813844
761,359.1468,28.16,24.13239382928684,10.549768875676982,83.53813942286807,93.6486601858972,28.16,1031522.6224175784,1085754.9292920383,1047752.4091935346,1042849.579551959,C19H20N4O2,359.1468,28.16,1.25,0.028,1/1,52.967240578432275,78.75490180922064,1051969.8851137776,2.2364221454225555,19860.764382393165,15888.611505914532
762,804.2916,3.34,171670.12058001844,236956.5433104532,140463.42173412658,149540.4444320954,3.34,227315.163162039,201395.50006135216,205884.76504281387,273015.14528420847,C35H46O20,804.2916,3.34,1.39,0.039,1/1,174657.6325141734,24.935348562149063,226902.64338760337,14.436219058624102,1.2991281292513244,0.934624553418219
763,533.2272,18.2,27490587.00357428,37763488.29465707,1614278.964100711,7937497.194063205,18.2,49456502.41318062,48766873.020715535,46460638.2257948,54137081.39917264,C29H24F3N5O,533.2272,18.2,1.27,0.002,1/1,18701462.864098817,89.92396927879739,49705273.764715895,6.4787962105374675,2.6578281135501474,2.0927780421654703
764,438.357,31.1,105496.45293410048,108295.19861976316,132206.54503617104,128941.78704593444,31.1,135824.5568072535,126975.39425006,123433.89666691422,139695.20623055502,C26H44O4,438.357,31.1,1.03,0.497,1/1,118734.99590899228,11.608166284929009,131482.26348869567,5.74873865314683,1.1073589760298967,1.0751058019707735
766,766.1635,31.82,3375.993152071902,2997.3357612000223,4113.939693297681,4602.482126377517,31.82,5716.956757190628,4733.915821231587,6316.121796399735,4453.958893532994,C32H37N4O12S3,766.1635,31.82,1.27,0.0,1/1,3772.43768323678,19.13696217896055,5305.238317088737,16.296678818418666,1.4063156936065815,1.107335191816206
767,313.1765,3.49,1942268.7789110912,1778952.6957583649,1414950.0822836882,1677519.312844987,3.49,2217650.7529910905,2485337.833544248,2105860.149711229,2551275.6450505224,C19H24N2S,313.1765,3.49,1.23,0.039,1/1,1703422.7174495328,12.979042950987127,2340031.0953242723,9.083841928034571,1.3737230761063866,1.1168480293547858
768,313.173,5.22,271.0687537374193,1063.8722384526982,3692.093878359153,5416.424712734308,5.22,738930.6797312554,6406.035499528309,891032.0710947477,372.2221682257904,C19H24N2S,313.173,5.22,1.17,0.177,1/1,2610.8648958208946,90.92886919254232,409185.25212343934,115.51636432541135,156.72402382000138,133.95215711111229
769,313.1768,32.2,527835.8111320958,541997.5653890907,524980.4296358401,583046.4990012504,32.2,486090.95829528326,508076.38722831255,563272.9123629467,473896.39236539113,C19H24N2S,313.1768,32.2,0.96,0.704,1/1,544465.0762895693,4.917781486481855,507834.1625629834,7.792492764995735,0.9327212794322477,0.9715846660752581
770,268.1887,7.97,700816.4197688203,583622.7636948858,773287.5934007028,753979.8493099728,7.97,651296.3904589391,461455.6221383137,820254.714440601,225466.4899789529,C15H25NO3,268.1887,7.97,1.06,0.317,1/1,702926.6565435955,12.125716674339364,539618.3042542017,47.37110102738675,0.7676736957275067,0.7242204676674591
771,214.1106,7.29,369181.9369167177,172387.80830354415,740830.2864781662,634320.0366253618,7.29,1028828.243475535,375545.49388920015,1037629.1404562708,84907.20123533788,C11H11N5,214.1106,7.29,1.41,0.015,1/1,479180.01708094747,53.71487865458666,631727.519764086,75.75571113538567,1.3183511357848814,0.9350008055211926
772,214.1103,28.55,3752809.902065658,3734098.1911793975,3901531.9054133818,3523968.741106816,28.55,4309978.491657115,4173026.6526805614,4155573.609213503,3713215.4833352086,C11H11N5,214.1103,28.55,1.15,0.081,1/1,3728102.184941313,4.16682358841527,4087948.559221597,6.340268940887989,1.0965226692910373,0.9534979732965542
773,361.1987,31.29,933.2401380879209,487.9369890345762,1540.3937483942025,1322.66419747205,31.29,123.23343605678043,327.6751666203334,249.76174436246703,23.95492707771192,C21H28O5,361.1987,31.29,1.15,0.139,1/1,1071.0587682471873,43.211398748627325,181.1563185293232,74.22547631879867,0.16913760841133837,0.14707618122725077
774,371.16,9.61,5217236.688470464,3318876.814950542,5471083.2458357215,5343262.487629835,9.61,7155648.775202369,6005605.390070451,6656540.761027902,3946974.707695739,C21H26N2S2,371.16,9.61,1.09,0.318,1/1,4837614.80922164,21.03891883101955,5941192.408499115,23.739334942444138,1.2281243221708753,1.1267195616246561
775,337.2167,13.16,4394059.190228334,4709417.983979466,4658362.840094015,4142843.168503395,13.16,4651713.09787233,4937236.909857878,4206903.847769973,4666667.320268299,C18H28N2O4,337.2167,13.16,1.3,0.001,1/1,4476170.795701303,5.846332161148832,4615630.29394212,6.5523388918292085,1.0311559823353362,0.7931969094887201
776,400.1473,4.54,1036764.9718727232,1157497.8484174877,1110583.7795989509,931081.9280997692,4.54,361.4263482290829,310.7688933179551,135.5071887453175,240.6857198542452,C21H19F2N3O3,400.1473,4.54,1.39,0.057,1/1,1058982.1319972328,9.319484539970823,262.0970375366502,37.330139904134946,0.00024749901779960823,0.00017805684733784765
777,400.1427,27.58,763934.5578649367,671763.811480272,705545.8631016891,746653.2259079763,27.58,720797.092487266,671509.7987362192,642099.5662348382,642722.5347704841,C21H19F2N3O3,400.1427,27.58,1.22,0.051,1/1,721974.3645887185,5.744759786163422,669282.2480572019,5.525656464699919,0.9270166378254533,0.7598497031356175
778,442.2233,3.33,1251163.0512289156,1147239.1086828157,1278943.4253185124,1388486.2340870935,3.33,931041.2171245448,833289.5546770649,711613.9850182842,586344.1162900522,C25H31NO6,442.2233,3.33,0.97,0.831,1/1,1266457.9548293343,7.829145581761364,765572.2182774865,19.52046057025426,0.6044987244607372,0.623194561299729
779,383.2788,13.13,7645.32686768726,8777.913033313918,3018.854476580268,4285.548674227714,13.13,26002.745139028382,30666.843587207524,29674.687617953008,25032.06376258132,C22H38O5,383.2788,13.13,0.98,0.77,1/1,5931.9107629522905,45.891614239733585,27844.08502669256,9.861082049460155,4.693948735809144,4.789743607968514
780,333.1411,13.54,70313.15451110102,69818.03336325208,36611.99901230479,57167.11406982634,13.54,62068.35245173814,14289.406597917065,72171.12717805037,1655.011739881956,C12H20N4O7,333.1411,13.54,1.15,0.178,1/1,58477.575239121055,27.0114650819545,37545.97449189688,92.63733924672974,0.6420576492504584,0.5583109993482247
781,346.1025,4.86,10343.121975496691,9039.256132277744,11254.321134320657,8431.60577725664,4.86,246827.92707354756,258138.53788611872,214009.25989804624,266923.1221270176,C17H16FN3O2S,346.1025,4.86,1.56,0.003,1/1,9767.076254837933,13.02733842468982,246474.71174618253,9.394036525871714,25.23526030874347,16.176448915861197
782,346.1022,13.1,59940.26279463647,65810.9688105747,26400.05124180325,42584.43134706232,13.1,72144.97590449077,37194.70998593145,72208.20703320326,6306.127308842472,C17H16FN3O2S,346.1022,13.1,1.07,0.133,1/1,48683.92854851919,36.62570322723769,46963.505058116985,67.55722222455249,0.9646613668679676,0.9015526793158575
783,411.196,32.34,2134668.871850859,2336575.6566853877,2330314.799307441,2385536.1551351333,32.34,2142670.6510534007,1599814.8666528773,1727864.6585710098,1675635.6736422232,C22H28F2O5,411.196,32.34,1.09,0.324,1/1,2296773.870744705,4.826517085038765,1786496.4624798778,13.61320468141457,0.7778286252884898,0.7136042433839356
784,337.2127,3.72,17577503.012725297,16545844.689212289,17367280.387598157,16909894.922695886,3.72,808365.7900212097,791926.7203060603,720901.3405153814,783939.1795075749,C20H29FO3,337.2127,3.72,0.06,0.0,1/16,17100130.75305791,2.706674012374406,776283.2575875566,4.933265287022491,0.04539633461274785,0.7566055768791309
785,316.1767,0.47,347394.1150642363,344566.64412345324,281305.0723511685,387513.1931501283,0.47,10.343424897720622,91.1034221534335,62.870020252248445,49.17001155628201,C16H21N5O2,316.1767,0.47,1.11,0.523,1/1,340194.7561722466,12.900291707166737,53.37171971492115,62.91850259134913,0.00015688578012030882,0.00014133854064892685
786,438.1719,32.63,200307.14251164903,263863.5020269087,237464.4418045659,235434.83252646457,32.63,683.7702387326858,497.2155695768316,393.4281569127694,244.85578141393864,C21H23N7O2S,438.1719,32.63,0.87,0.373,1/1,234267.47971739704,11.133427896091927,454.8174366590563,40.55555217520317,0.0019414450405481564,0.0022315460236185707
787,256.0966,3.77,3789.521740323319,3472.748868389222,3465.8016364698647,3954.707022320311,3.77,118108.50489268536,106833.10339747094,103442.99311937518,103093.85744884648,C15H13NO3,256.0966,3.77,1.84,0.002,2/1,3670.694816875679,6.597532136908775,107869.6147145945,6.5182120459476245,29.38670199948902,15.971033695374466
788,256.0992,5.89,1193241.401430886,941141.7992524776,1215907.4677464743,1194327.4149183684,5.89,1394104.7001955006,1178907.4080699682,1565357.5047785474,285350.4473000518,C15H13NO3,256.0992,5.89,1.06,0.067,1/1,1136154.5208370516,11.479675540584221,1105930.015086017,51.489935355252626,0.9733975395100599,0.9182995655755282
789,247.1805,12.0,723094.3258076116,691326.6317515362,640399.1387759865,607407.6591228417,12.0,415831.18330711353,481392.7645921481,362987.6322660069,643321.9235899369,C15H22N2O,247.1805,12.0,0.88,0.159,1/1,665556.938864494,7.7534885449871735,475883.3759388013,25.56919439850808,0.7150152723983397,0.8125173549981133
790,247.1804,24.86,127256.81513124472,43064.16520502209,193983.9570976077,187290.79448592145,24.86,150.35548244237273,109.28998459188062,508.4221879717276,128.7865272060854,C15H22N2O,247.1804,24.86,1.41,0.069,1/1,137898.932979949,50.74795416762298,224.21354555301656,84.83577860651727,0.0016259266167463241,0.0011531394445009392
792,292.1086,28.84,27672.58690294014,29707.982076734777,19986.55886707142,24326.931666288183,28.84,140865.15637411116,166963.22903499336,134323.18101404517,160774.43600637457,C14H17N3O2S,292.1086,28.84,1.26,0.01,1/1,25423.514878258633,16.71533720254064,150731.50060738105,10.355390663698467,5.92882224700888,4.705414481753079
